date,time,temp,humid,windspd
20/1/2010,19,30.00,40.00,11.15
20/1/2010,20,0.0,0.0,0.0
20/1/2010,21,28.33,38.33,8.67
20/1/2010,22,28.50,41.00,11.10
20/1/2010,23,28.00,39.00,11.10
20/1/2010,24,26.00,48.00,5.57
21/1/2010,1,26.50,44.50,4.65
21/1/2010,2,25.50,48.50,9.25
21/1/2010,3,23.00,57.50,4.65
21/1/2010,4,26.00,42.00,11.10
21/1/2010,5,25.00,47.00,2.80
21/1/2010,6,23.67,47.00,3.73
21/1/2010,7,25.00,44.00,11.10
21/1/2010,8,25.00,42.50,12.95
21/1/2010,9,24.50,39.50,10.20
21/1/2010,10,29.00,33.00,9.30
21/1/2010,11,29.00,33.00,14.80
21/1/2010,12,31.00,25.67,13.60
21/1/2010,13,31.00,29.00,9.25
21/1/2010,14,33.00,26.00,9.30
21/1/2010,15,32.33,26.33,12.37
21/1/2010,16,31.50,32.00,22.25
21/1/2010,17,30.00,44.00,17.60
21/1/2010,18,29.00,45.33,12.97
21/1/2010,19,29.00,42.00,11.15
21/1/2010,20,28.00,39.00,12.95
21/1/2010,21,27.50,38.50,10.20
21/1/2010,22,26.50,46.00,6.50
21/1/2010,23,26.50,43.00,3.70
21/1/2010,24,25.00,50.67,3.10
22/1/2010,1,25.50,52.50,9.30
22/1/2010,2,25.00,48.50,4.65
22/1/2010,3,23.00,56.33,4.33
22/1/2010,4,23.50,57.00,0.00
22/1/2010,5,23.00,59.00,0.00
22/1/2010,6,21.67,58.67,2.47
22/1/2010,7,23.00,53.00,5.60
22/1/2010,8,24.00,47.00,7.40
22/1/2010,9,23.67,47.33,3.10
22/1/2010,10,0.0,0.0,0.0
22/1/2010,11,29.00,29.50,11.10
22/1/2010,12,30.00,24.00,8.63
22/1/2010,13,31.50,24.00,7.40
22/1/2010,14,32.00,22.00,6.50
22/1/2010,15,31.00,36.67,13.60
22/1/2010,16,30.00,38.50,15.75
22/1/2010,17,29.50,41.00,13.90
22/1/2010,18,29.00,45.33,11.13
22/1/2010,19,27.50,59.50,11.10
